,brand,year,selling_price,fuel,seller_type,mileage
164,Tata,2018,1025000,Diesel,Dealer,21.5 kmpl
165,BMW,2016,2150000,Diesel,Dealer,22.69 kmpl
166,Toyota,2016,1900000,Petrol,Dealer,19.16 kmpl
167,BMW,2016,2900000,Diesel,Dealer,18.12 kmpl
168,Toyota,2009,450000,Petrol,Dealer,12.1 kmpl
169,Maruti,2016,850000,Petrol,Individual,17.5 kmpl
170,Volvo,2017,10000000,Petrol,Individual,42.0 kmpl
171,Volkswagen,2011,300000,Diesel,Individual,20.54 kmpl
172,Ford,2018,575000,Petrol,Individual,18.16 kmpl
173,Ford,2011,160000,Diesel,Individual,20.0 kmpl
174,Maruti,2015,515000,Petrol,Individual,20.4 kmpl
175,Maruti,2015,390000,Petrol,Individual,20.51 kmpl
176,Hyundai,2016,550000,Petrol,Individual,18.6 kmpl
177,Maruti,1999,40000,Petrol,Individual,16.1 kmpl
178,Maruti,2010,220000,Diesel,Individual,21.1 kmpl
179,Hyundai,2015,425000,Petrol,Individual,18.9 kmpl
180,Volkswagen,2019,480000,Petrol,Individual,19.44 kmpl
181,Hyundai,2014,400000,Petrol,Individual,18.9 kmpl
182,Maruti,2014,487000,Petrol,Individual,19.1 kmpl
183,Hyundai,2016,386000,Petrol,Individual,19.1 kmpl
184,Honda,2005,100000,Petrol,Individual,13.0 kmpl
185,Toyota,2010,300000,Diesel,Individual,21.43 kmpl
186,Daewoo,2000,100000,Petrol,Individual,18.5 kmpl
187,Toyota,2014,1750000,Diesel,Individual,13.0 kmpl
188,Mahindra,2016,450000,Petrol,Individual,18.15 kmpl
189,Tata,2017,490000,Diesel,Individual,22.95 kmpl
190,Honda,2009,345000,Petrol,Individual,17.0 kmpl
191,Maruti,2005,85000,Petrol,Individual,17.3 kmpl
192,Maruti,2010,215000,Petrol,Individual,18.9 kmpl
193,Hyundai,2010,320000,Petrol,Individual,16.2 kmpl
194,Maruti,2016,459999,Petrol,Individual,20.85 kmpl
195,Hyundai,2005,65000,Petrol,Individual,15.3 kmpl
196,Hyundai,2020,720000,Petrol,Individual,18.6 kmpl
197,Maruti,2017,800000,Diesel,Individual,28.09 kmpl
198,Tata,2019,520000,Petrol,Individual,20.3 kmpl
199,Maruti,2015,580000,Diesel,Individual,20.77 kmpl
201,Honda,2015,600000,Petrol,Individual,17.4 kmpl
202,Honda,2014,290000,Petrol,Individual,19.4 kmpl
203,Maruti,2016,360000,CNG,Individual,26.6 km/kg
204,Maruti,2017,550000,Petrol,Individual,20.85 kmpl
205,Hyundai,2013,375000,Petrol,Individual,18.5 kmpl
207,Maruti,2018,420000,Petrol,Individual,20.51 kmpl
208,Maruti,2017,550000,Petrol,Individual,21.21 kmpl
209,Maruti,2018,270000,Petrol,Individual,24.7 kmpl
210,Maruti,2018,700000,Petrol,Individual,22.0 kmpl
211,Maruti,2017,500000,Petrol,Individual,20.4 kmpl
212,Tata,2019,1250000,Diesel,Individual,17.6 kmpl
213,Hyundai,2013,320000,Petrol,Individual,18.5 kmpl
214,Maruti,2018,700000,Diesel,Individual,28.4 kmpl
215,Maruti,2015,290000,Petrol,Individual,20.51 kmpl
216,Toyota,2012,550000,Petrol,Individual,14.53 kmpl
217,Honda,2012,265000,Petrol,Individual,19.4 kmpl
218,Maruti,2018,830000,Petrol,Individual,21.4 kmpl
219,Tata,2017,800000,Diesel,Individual,14.1 kmpl
220,Maruti,2011,160000,Petrol,Individual,19.7 kmpl
221,Renault,2018,335000,Petrol,Individual,25.17 kmpl
222,Datsun,2017,329000,Petrol,Individual,20.63 kmpl
223,Maruti,2017,775000,Diesel,Individual,24.3 kmpl
224,Hyundai,2020,524000,Petrol,Individual,20.14 kmpl
225,Maruti,2015,245000,Petrol,Individual,22.74 kmpl
226,Hyundai,2012,275000,Petrol,Individual,17.0 kmpl
227,Tata,2018,520000,Petrol,Individual,17.57 kmpl
229,Nissan,2014,550000,Petrol,Individual,16.95 kmpl
230,Ford,2018,910000,Petrol,Individual,17.0 kmpl
231,Nissan,2015,300000,Petrol,Individual,19.49 kmpl
232,Maruti,2016,350000,Petrol,Individual,20.51 kmpl
233,Mahindra,2013,900000,Diesel,Individual,12.83 kmpl
234,Mahindra,2013,300000,Diesel,Individual,17.21 kmpl
235,Maruti,2010,250000,Diesel,Individual,21.1 kmpl
236,Hyundai,2017,1100000,Diesel,Individual,19.67 kmpl
237,Renault,2016,270000,Petrol,Individual,25.17 kmpl
238,Maruti,2015,640000,Diesel,Individual,20.77 kmpl
239,Mahindra,2015,650000,Diesel,Individual,15.1 kmpl
240,Maruti,2017,409999,Petrol,Individual,15.37 kmpl
241,Hyundai,2011,165000,Petrol,Individual,17.92 kmpl
242,Hyundai,2007,80000,Petrol,Individual,13.2 kmpl
243,Mahindra,2012,535000,Diesel,Individual,15.1 kmpl
244,Toyota,2013,700000,Diesel,Individual,12.99 kmpl
245,Maruti,2013,550000,Diesel,Individual,23.4 kmpl
246,Honda,2019,680000,Petrol,Individual,19.0 kmpl
247,Hyundai,2009,200000,Petrol,Individual,20.36 kmpl
248,Maruti,2014,500000,Diesel,Individual,23.4 kmpl
249,Maruti,2016,1000000,Diesel,Individual,24.52 kmpl
250,Hyundai,2008,110000,Petrol,Individual,14.2 kmpl
251,Hyundai,2012,320000,Petrol,Individual,18.5 kmpl
253,Maruti,2015,350000,Petrol,Individual,20.4 kmpl
254,Tata,2013,170000,Diesel,Individual,19.4 kmpl
255,Hyundai,2017,800000,Diesel,Individual,22.54 kmpl
256,Maruti,2017,500000,Diesel,Individual,26.8 kmpl
257,Tata,2017,1380000,Diesel,Individual,17.6 kmpl
258,Mahindra,2019,1300000,Diesel,Individual,17.3 kmpl
259,Hyundai,2013,530000,Diesel,Individual,22.32 kmpl
260,Maruti,2012,360000,Diesel,Individual,23.4 kmpl
261,Maruti,2012,310000,Diesel,Individual,19.3 kmpl
262,Honda,2015,725000,Diesel,Individual,26.0 kmpl
263,Maruti,2012,340000,Diesel,Individual,19.3 kmpl
264,Hyundai,2017,550000,Diesel,Individual,25.4 kmpl
265,Toyota,2011,1150000,Diesel,Individual,11.5 kmpl
266,Tata,2016,380000,Diesel,Individual,27.28 kmpl
267,Nissan,2013,350000,Petrol,Individual,17.97 kmpl
268,Hyundai,2019,610000,Petrol,Individual,18.6 kmpl
269,Maruti,2015,525000,Petrol,Individual,20.85 kmpl
270,Toyota,2011,480000,Diesel,Individual,12.8 kmpl
271,Mahindra,2017,780000,Diesel,Individual,16.55 kmpl
272,Maruti,2012,320000,Diesel,Individual,19.3 kmpl
273,Maruti,2014,375000,Petrol,Individual,20.4 kmpl
274,Datsun,2019,300000,Petrol,Individual,19.02 kmpl
275,Hyundai,2015,500000,Diesel,Individual,22.54 kmpl
276,Mahindra,2011,404000,Diesel,Individual,12.05 kmpl
277,Tata,2015,500000,Diesel,Individual,14.07 kmpl
278,Tata,2017,350000,Diesel,Individual,27.28 kmpl
279,Tata,2015,380000,Petrol,Individual,17.57 kmpl
280,Hyundai,2008,114999,Petrol,Individual,13.2 kmpl
281,Honda,2014,335000,Petrol,Dealer,19.4 kmpl
282,Hyundai,2015,465000,Petrol,Dealer,18.9 kmpl
283,Tata,2012,290000,Diesel,Individual,21.02 kmpl
284,Maruti,2005,110000,Petrol,Individual,19.7 kmpl
285,Tata,2011,450000,Diesel,Individual,11.57 kmpl
286,Mahindra,2009,400000,Diesel,Individual,13.6 kmpl
287,Mahindra,2007,210000,Diesel,Individual,13.6 kmpl
288,Mercedes-Benz,2018,4600000,Diesel,Individual,17.9 kmpl
289,Maruti,2016,220000,Petrol,Individual,16.8 kmpl
290,Hyundai,2017,450000,Petrol,Individual,18.9 kmpl
291,Hyundai,2017,450000,Petrol,Individual,18.9 kmpl
292,Hyundai,2013,290000,Petrol,Individual,16.95 kmpl
293,Maruti,2016,520000,Petrol,Individual,20.4 kmpl
294,Hyundai,2011,265000,Petrol,Individual,16.95 kmpl
295,Maruti,2012,330000,Petrol,Individual,18.6 kmpl
296,Maruti,2012,330000,Petrol,Individual,18.6 kmpl
297,Mahindra,2014,509999,Diesel,Individual,15.96 kmpl
298,Hyundai,2014,500000,Petrol,Individual,17.1 kmpl
299,Hyundai,2015,525000,Petrol,Individual,17.19 kmpl
300,Maruti,2019,675000,Petrol,Individual,21.01 kmpl
301,Hyundai,2010,300000,Petrol,Individual,17.0 kmpl
302,Maruti,2005,90000,Petrol,Individual,19.7 kmpl
303,Maruti,2017,650000,Diesel,Individual,26.59 kmpl
304,Maruti,2014,409000,Petrol,Individual,19.1 kmpl
305,Hyundai,2015,395000,Diesel,Individual,24.0 kmpl
307,Maruti,2014,400000,Petrol,Individual,19.1 kmpl
308,Chevrolet,2012,120000,Petrol,Individual,18.6 kmpl
309,Tata,2018,645000,Petrol,Individual,20.3 kmpl
310,Maruti,2006,81000,Petrol,Individual,16.1 kmpl
311,Honda,2017,1300000,Diesel,Individual,25.6 kmpl
312,Honda,2017,1250000,Diesel,Individual,25.6 kmpl
313,Maruti,2013,535000,Petrol,Individual,16.02 kmpl
314,Nissan,2014,555000,Diesel,Individual,19.01 kmpl
315,Honda,2014,725000,Petrol,Individual,17.4 kmpl
317,Renault,2016,229999,Petrol,Individual,25.17 kmpl
318,Toyota,2013,800000,Diesel,Individual,12.99 kmpl
319,Maruti,2017,409999,Petrol,Individual,20.51 kmpl
320,Hyundai,2018,1210000,Diesel,Individual,21.38 kmpl
321,Tata,2017,400000,Petrol,Individual,23.84 kmpl
322,Hyundai,2018,520000,Diesel,Individual,24.0 kmpl
323,Maruti,2016,650000,Petrol,Individual,21.4 kmpl
324,Maruti,2011,325000,Petrol,Individual,16.1 kmpl
325,Maruti,2012,420000,Petrol,Individual,17.4 kmpl
326,Maruti,2014,400000,Petrol,Individual,20.4 kmpl
327,Hyundai,2010,254999,Petrol,Individual,17.0 kmpl
328,Maruti,2003,65000,Petrol,Individual,17.3 kmpl
329,Maruti,2017,351000,Petrol,Individual,23.1 kmpl
330,Toyota,2007,404000,Diesel,Individual,12.8 kmpl
331,Maruti,2011,185000,Diesel,Individual,21.1 kmpl
332,Nissan,2011,250000,Diesel,Individual,23.08 kmpl
333,Maruti,2002,60000,Petrol,Individual,17.3 kmpl
334,Hyundai,2013,500000,Petrol,Individual,17.1 kmpl
335,Maruti,2007,85000,Petrol,Individual,18.2 kmpl
337,Maruti,2005,85000,Petrol,Individual,19.7 kmpl
338,Maruti,2011,265000,Diesel,Individual,19.3 kmpl
339,Maruti,2010,130000,Petrol,Individual,19.0 kmpl
340,Maruti,2013,480000,Diesel,Individual,20.77 kmpl
341,Maruti,2008,170000,Diesel,Individual,17.8 kmpl
342,Nissan,2011,275000,Diesel,Individual,23.08 kmpl
343,Maruti,2005,89000,Petrol,Individual,18.9 kmpl
344,Ford,2010,170000,Diesel,Individual,20.0 kmpl
345,Mahindra,2019,1090000,Petrol,Dealer,17.0 kmpl
346,Hyundai,2017,1100000,Diesel,Individual,17.01 kmpl
347,Maruti,2018,610000,Petrol,Dealer,22.0 kmpl
348,Datsun,2016,335000,Petrol,Dealer,20.63 kmpl
349,Hyundai,2015,434999,Petrol,Dealer,18.9 kmpl
350,Toyota,2018,3000000,Diesel,Individual,14.24 kmpl
351,Renault,2018,390000,Petrol,Dealer,20.71 kmpl
352,Honda,2012,325000,Petrol,Dealer,18.5 kmpl
353,Volkswagen,2019,640000,Petrol,Dealer,17.0 kmpl
354,Nissan,2012,450000,Petrol,Dealer,16.95 kmpl
355,Toyota,2013,400000,Diesel,Dealer,23.59 kmpl
356,Hyundai,2009,215000,Petrol,Dealer,20.36 kmpl
357,Renault,2014,570000,Diesel,Dealer,20.45 kmpl
358,Mahindra,2012,680000,Diesel,Dealer,15.1 kmpl
359,Toyota,2008,325000,Diesel,Individual,12.8 kmpl
360,Tata,2011,150000,Petrol,Individual,15.64 kmpl
361,Hyundai,2013,690000,Petrol,Dealer,14.5 kmpl
362,Mercedes-Benz,2013,1550000,Diesel,Individual,14.84 kmpl
363,Tata,2012,64000,Petrol,Dealer,25.4 kmpl
364,Nissan,2013,250000,Diesel,Individual,23.08 kmpl
365,Maruti,2005,65000,Petrol,Individual,18.9 kmpl
366,Maruti,2016,550000,Diesel,Individual,26.59 kmpl
367,Hyundai,2010,140000,Petrol,Individual,20.36 kmpl
368,Renault,2016,300000,Petrol,Individual,25.17 kmpl
369,Volkswagen,2016,800000,Petrol,Individual,16.34 kmpl
370,Jaguar,2017,2625000,Diesel,Dealer,13.6 kmpl
371,Lexus,2019,5150000,Petrol,Dealer,22.37 kmpl
372,Jaguar,2017,3200000,Diesel,Dealer,19.33 kmpl
373,Tata,2015,503000,Diesel,Individual,14.1 kmpl
374,Volvo,2019,3800000,Diesel,Individual,18.0 kmpl
375,Toyota,2016,2000000,Petrol,Trustmark Dealer,19.16 kmpl
376,Maruti,2013,225000,Petrol,Trustmark Dealer,21.79 kmpl
377,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
378,Honda,2016,550000,Petrol,Trustmark Dealer,18.2 kmpl
379,Toyota,2013,750000,Diesel,Trustmark Dealer,12.99 kmpl
380,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
381,Toyota,2017,625000,Petrol,Trustmark Dealer,16.78 kmpl
382,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
383,Hyundai,2017,450000,Diesel,Dealer,24.0 kmpl
384,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
385,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
386,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
387,Skoda,2016,645000,Petrol,Dealer,14.3 kmpl
388,Volvo,2018,2475000,Diesel,Dealer,16.8 kmpl
389,Hyundai,2010,150000,Petrol,Individual,20.36 kmpl
391,Honda,2009,500000,Petrol,Individual,11.1 kmpl
392,Maruti,2015,480000,Diesel,Individual,26.59 kmpl
393,Hyundai,2014,535000,Diesel,Individual,22.32 kmpl
394,Toyota,2005,250000,Diesel,Individual,12.8 kmpl
395,Maruti,2012,300000,Diesel,Individual,21.5 kmpl
396,Hyundai,2009,340000,Petrol,Individual,13.9 kmpl
397,Hyundai,2009,340000,Diesel,Individual,16.8 kmpl
398,Maruti,2016,240000,Petrol,Individual,22.74 kmpl
399,Honda,2018,1085000,Petrol,Individual,18.0 kmpl
400,Maruti,2017,750000,Diesel,Individual,28.4 kmpl
401,Tata,2012,95000,Diesel,Individual,17.0 kmpl
402,Maruti,2020,409999,CNG,Individual,20.88 km/kg
403,Maruti,2014,215000,Petrol,Individual,23.95 kmpl
404,Mahindra,2016,1290000,Diesel,Individual,16.0 kmpl
405,Maruti,2010,150000,Petrol,Individual,20.92 kmpl
406,Hyundai,2013,219000,Petrol,Individual,21.1 kmpl
407,Tata,2018,325000,Petrol,Individual,23.84 kmpl
408,Maruti,2013,260000,Petrol,Individual,15.1 kmpl
409,Jaguar,2017,2625000,Diesel,Dealer,13.6 kmpl
410,Lexus,2019,5150000,Petrol,Dealer,22.37 kmpl
411,Jaguar,2017,3200000,Diesel,Dealer,19.33 kmpl
412,Tata,2015,503000,Diesel,Individual,14.1 kmpl
413,Volvo,2019,3800000,Diesel,Individual,18.0 kmpl
414,Toyota,2016,2000000,Petrol,Trustmark Dealer,19.16 kmpl
415,Maruti,2013,225000,Petrol,Trustmark Dealer,21.79 kmpl
416,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
417,Honda,2016,550000,Petrol,Trustmark Dealer,18.2 kmpl
418,Toyota,2013,750000,Diesel,Trustmark Dealer,12.99 kmpl
419,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
420,Toyota,2017,625000,Petrol,Trustmark Dealer,16.78 kmpl
421,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
422,Hyundai,2017,450000,Diesel,Dealer,24.0 kmpl
423,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
424,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
425,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
426,Skoda,2016,645000,Petrol,Dealer,14.3 kmpl
427,Volvo,2018,2475000,Diesel,Dealer,16.8 kmpl
428,Honda,2019,700000,Diesel,Individual,23.8 kmpl
429,Hyundai,2017,950000,Diesel,Individual,21.38 kmpl
430,Maruti,2010,160000,Petrol,Individual,19.7 kmpl
431,Hyundai,2015,409999,Diesel,Individual,24.4 kmpl
432,Toyota,2015,840000,Diesel,Individual,12.99 kmpl
433,Toyota,2013,450000,Diesel,Individual,23.59 kmpl
434,Maruti,2017,900000,Diesel,Individual,28.4 kmpl
435,Toyota,2008,570000,Diesel,Individual,12.8 kmpl
436,Nissan,2011,254999,Diesel,Individual,23.08 kmpl
437,Maruti,2009,130000,Petrol,Individual,16.1 kmpl
438,Maruti,2013,530000,Diesel,Individual,23.4 kmpl
439,Volkswagen,2015,520000,Diesel,Individual,20.14 kmpl
440,Mahindra,2011,229999,Diesel,Individual,21.0 kmpl
441,Maruti,2004,81000,Petrol,Individual,16.1 kmpl
442,Maruti,2016,600000,Diesel,Individual,25.2 kmpl
443,Hyundai,2015,409999,Petrol,Individual,19.1 kmpl
444,Maruti,2010,120000,Petrol,Individual,16.1 kmpl
445,Maruti,2014,320000,Petrol,Individual,23.1 kmpl
446,Ford,2015,292000,Diesel,Individual,20.0 kmpl
447,Tata,2012,390000,Diesel,Individual,13.93 kmpl
448,Ford,2016,550000,Petrol,Individual,18.16 kmpl
449,Maruti,2014,385000,Petrol,Individual,23.1 kmpl
450,Hyundai,2016,800000,Petrol,Individual,15.29 kmpl
451,Maruti,2019,675000,Petrol,Individual,21.21 kmpl
452,Tata,2018,1525000,Diesel,Individual,17.6 kmpl
