car_id,name,year,selling_price,fuel,seller_type,km_driven,owner,mileage
CarID26,Maruti Baleno Delta 1.2,2016,575000,Petrol,Individual,45000,First Owner,21.4 kmpl
CarID27,Maruti Alto 800 LXI,2017,275000,Petrol,Individual,28000,First Owner,24.7 kmpl
CarID28,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,Diesel,Individual,70000,First Owner,18.2 kmpl
CarID29,Maruti Wagon R LXI Minor,2009,220000,Petrol,Individual,120000,First Owner,18.9 kmpl
CarID30,Maruti Omni E MPI STD BS IV,2018,254999,Petrol,Individual,25000,First Owner,16.8 kmpl
CarID31,Maruti Vitara Brezza LDi Option,2017,670000,Diesel,Individual,70000,First Owner,24.3 kmpl
CarID32,Fiat Palio 1.2 ELX,2003,70000,Petrol,Individual,50000,Second Owner,""
CarID33,Maruti Omni 8 Seater BSIV,2012,150000,Petrol,Individual,35000,Second Owner,14.0 kmpl
CarID34,Hyundai i20 1.2 Asta Dual Tone,2018,730000,Petrol,Individual,2388,First Owner,18.6 kmpl
CarID35,Maruti Vitara Brezza LDi,2017,650000,Diesel,Individual,16200,First Owner,24.3 kmpl
CarID36,Maruti Alto 800 CNG LXI Optional,2019,330000,CNG,Individual,10000,Second Owner,33.44 km/kg
CarID37,Maruti Alto K10 VXI Airbag,2019,366000,Petrol,Individual,15000,First Owner,23.95 kmpl
CarID38,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,Petrol,Individual,5000,First Owner,17.0 kmpl
CarID39,Datsun GO D,2016,150000,Petrol,Individual,42000,First Owner,20.63 kmpl
CarID40,Tata Safari DICOR 2.2 LX 4x2,2011,425000,Diesel,Individual,60000,Second Owner,13.93 kmpl
CarID41,Maruti 800 Std,2012,150000,Petrol,Individual,76000,First Owner,16.1 kmpl
CarID42,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,Petrol,Individual,5000,First Owner,16.0 kmpl
CarID43,Honda City i VTEC VX,2018,925000,Petrol,Dealer,28900,First Owner,17.8 kmpl
CarID44,Honda City V MT,2013,425000,Petrol,Dealer,86300,First Owner,16.8 kmpl
CarID45,Maruti Swift Dzire VXi AT,2018,675000,Petrol,Dealer,23300,First Owner,18.5 kmpl
CarID46,Maruti Vitara Brezza VDi,2018,819999,Diesel,Dealer,32600,First Owner,24.3 kmpl
CarID47,Maruti Alto K10 VXI,2018,390000,Petrol,Dealer,10300,First Owner,23.95 kmpl
CarID48,Toyota Fortuner 4x4 MT,2014,1500000,Diesel,Dealer,77000,First Owner,12.55 kmpl
CarID49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,Diesel,Dealer,99000,First Owner,12.99 kmpl
CarID50,Mercedes-Benz B Class B180,2014,1450000,Diesel,Dealer,27800,Second Owner,14.8 kmpl
CarID51,Honda Amaze S Diesel,2015,425000,Diesel,Dealer,49800,First Owner,24.7 kmpl
CarID52,Mitsubishi Pajero Sport 4X4,2013,1090000,Diesel,Dealer,151000,First Owner,13.5 kmpl
CarID53,Honda City i DTEC S,2015,600000,Diesel,Dealer,54700,First Owner,26.0 kmpl
CarID54,Maruti Ciaz Zeta,2018,850000,Petrol,Dealer,64000,First Owner,20.65 kmpl
CarID55,Honda Jazz VX Diesel,2015,525000,Diesel,Dealer,63000,First Owner,27.3 kmpl
CarID56,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,Diesel,Dealer,127700,Second Owner,11.36 kmpl
CarID57,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,Diesel,Dealer,99000,First Owner,12.99 kmpl
CarID58,Audi A6 2.0 TDI Technology,2013,1750000,Diesel,Dealer,33900,Second Owner,17.68 kmpl
CarID59,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,Petrol,Dealer,25000,First Owner,14.28 kmpl
CarID60,Audi A6 2.0 TDI  Design Edition,2013,1689999,Diesel,Dealer,50000,First Owner,18.53 kmpl
CarID61,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,Diesel,Dealer,59000,First Owner,14.84 kmpl
CarID62,Tata Manza ELAN Quadrajet BS IV,2011,265000,Diesel,Individual,120000,First Owner,21.12 kmpl
CarID63,Hyundai i10 Magna,2011,190000,Petrol,Individual,110000,Third Owner,20.36 kmpl
CarID64,Hyundai i20 Asta 1.4 CRDi,2013,425000,Diesel,Individual,60000,First Owner,21.27 kmpl
CarID65,Maruti Swift Dzire ZDI,2015,630000,Diesel,Individual,147000,Second Owner,26.59 kmpl
CarID66,Ford Figo 1.2P Titanium MT,2017,600000,Petrol,Individual,25000,Third Owner,18.16 kmpl
CarID67,Maruti Baleno Delta 1.2,2019,650000,Petrol,Individual,30000,First Owner,21.4 kmpl
CarID68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,Diesel,Individual,40000,First Owner,22.0 kmpl
CarID69,Honda City i DTEC VX,2015,630000,Diesel,Individual,135000,First Owner,25.1 kmpl
CarID70,Maruti Wagon R AMT VXI,2018,448000,Petrol,Individual,30000,First Owner,20.51 kmpl
CarID71,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,Diesel,Individual,80000,First Owner,21.66 kmpl
CarID72,Maruti Vitara Brezza VDi,2016,745000,Diesel,Individual,70000,First Owner,24.3 kmpl
CarID73,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,Diesel,Individual,9850,First Owner,24.3 kmpl
CarID74,Hyundai i10 Magna,2011,235000,Petrol,Individual,60000,Second Owner,20.36 kmpl
CarID75,Maruti Swift VDI Deca,2016,630000,Diesel,Individual,70000,First Owner,25.2 kmpl
CarID76,Toyota Fortuner 4x4 MT,2015,1700000,Diesel,Individual,78000,Second Owner,12.55 kmpl
CarID77,Maruti Swift Star VDI,2013,450000,Diesel,Individual,120000,Second Owner,22.9 kmpl
CarID78,Maruti Ertiga ZXI,2012,450000,Petrol,Individual,120000,Second Owner,16.02 kmpl
CarID79,Tata Indica DLS,2003,50000,Diesel,Individual,70000,First Owner,""
CarID80,Volkswagen Vento Diesel Highline,2013,450000,Diesel,Individual,170000,First Owner,20.54 kmpl
CarID81,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,Diesel,Individual,140000,First Owner,12.99 kmpl
CarID82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,Diesel,Individual,90000,First Owner,22.77 kmpl
CarID83,BMW X1 sDrive20i xLine,2016,2500000,Petrol,Individual,30000,Second Owner,15.71 kmpl
CarID84,Maruti Celerio ZXI MT BSIV,2017,484999,Petrol,Dealer,10000,First Owner,23.1 kmpl
CarID85,Datsun GO A Petrol,2016,275000,Petrol,Dealer,49000,First Owner,19.02 kmpl
CarID86,Maruti Alto 800 VXI BSIV,2016,315000,Petrol,Dealer,32000,First Owner,24.7 kmpl
CarID87,Maruti Alto 800 LXI BSIV,2016,275000,Petrol,Dealer,38000,First Owner,24.7 kmpl
CarID88,Maruti Swift VDI BSIV W ABS,2015,475000,Diesel,Dealer,78000,First Owner,""
CarID89,Hyundai i10 Era 1.1,2012,290000,Petrol,Dealer,28000,First Owner,19.81 kmpl
CarID90,Maruti Omni 8 Seater BSIV,2017,280000,Petrol,Dealer,32000,First Owner,14.0 kmpl
CarID91,Maruti Wagon R LXI LPG BSIV,2010,225000,LPG,Dealer,44000,First Owner,26.2 km/kg
CarID92,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,Petrol,Dealer,42000,First Owner,16.47 kmpl
CarID93,Hyundai i10 Magna 1.1L,2015,351000,Petrol,Dealer,45000,Second Owner,19.81 kmpl
CarID94,Volkswagen Vento Petrol Highline,2012,535000,Petrol,Dealer,12000,Second Owner,15.04 kmpl
CarID95,Maruti Zen Estilo LXI BSIII,2009,175000,Petrol,Dealer,55500,First Owner,18.2 kmpl
CarID96,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,Petrol,Dealer,61500,First Owner,18.5 kmpl
CarID97,Maruti Swift Dzire LDI,2016,600000,Diesel,Individual,150000,First Owner,26.59 kmpl
CarID98,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,Petrol,Dealer,72000,First Owner,19.1 kmpl
CarID99,Maruti Alto LX BSIII,2008,120000,Petrol,Dealer,68000,Third Owner,19.7 kmpl
CarID100,Hyundai i20 1.4 Asta Option,2017,725000,Diesel,Individual,110000,First Owner,22.54 kmpl
CarID101,Maruti Wagon R VXI,2009,185000,Petrol,Dealer,77000,Second Owner,21.79 kmpl
CarID102,Tata Manza Aura (ABS) Quadrajet,2010,200000,Diesel,Individual,100000,Second Owner,18.8 kmpl
CarID103,Maruti Swift VXI,2019,615000,Petrol,Individual,10000,First Owner,21.21 kmpl
CarID104,Maruti Eeco 7 Seater Standard BSIV,2016,270000,Petrol,Individual,100000,Third Owner,15.37 kmpl
CarID105,Maruti Baleno Zeta 1.2,2018,610000,Petrol,Individual,35000,First Owner,21.4 kmpl
CarID106,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,Diesel,Individual,70000,Second Owner,11.79 kmpl
CarID107,Ford Freestyle Titanium Petrol BSIV,2020,400000,Petrol,Individual,5000,Second Owner,19.0 kmpl
CarID108,Hyundai Verna VTVT 1.6 SX,2017,866000,Petrol,Individual,37800,First Owner,17.0 kmpl
CarID109,Volkswagen Passat 1.8 TSI MT,2010,700000,Petrol,Individual,114000,First Owner,14.3 kmpl
CarID110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,Petrol,Individual,48000,First Owner,15.8 kmpl
CarID111,Mahindra XUV500 W11 Option AWD,2019,1700000,Diesel,Individual,32000,First Owner,15.1 kmpl
CarID112,Tata Indigo CS LS (TDI) BS-III,2016,375000,Diesel,Individual,100000,First Owner,19.09 kmpl
CarID113,Hyundai Verna 1.6 SX,2013,522000,Diesel,Individual,150000,Second Owner,22.32 kmpl
CarID114,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,Diesel,Individual,69000,First Owner,21.9 kmpl
CarID115,Toyota Corolla Altis G,2009,300000,Petrol,Individual,100000,Second Owner,14.53 kmpl
CarID116,Maruti Celerio VXI,2020,475000,Petrol,Individual,13000,First Owner,21.63 kmpl
CarID117,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,Diesel,Individual,60000,First Owner,24.3 kmpl
CarID118,Maruti Swift Dzire VXI,2017,595000,Petrol,Individual,40000,First Owner,20.85 kmpl
CarID119,Maruti Wagon R VXI BS IV,2017,440000,Petrol,Individual,35000,First Owner,20.51 kmpl
CarID120,Maruti Swift VDI BSIV,2010,300000,Diesel,Individual,120000,Second Owner,""
CarID121,Nissan Terrano XL 85 PS,2014,400000,Diesel,Individual,70000,Third Owner,20.45 kmpl
CarID122,Hyundai Creta 1.6 CRDi SX,2016,1140000,Diesel,Individual,50000,First Owner,19.67 kmpl
CarID123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,Diesel,Individual,76139,First Owner,23.0 kmpl
CarID124,Maruti Swift Dzire VDi,2012,370000,Diesel,Individual,175000,Fourth & Above Owner,19.3 kmpl
CarID125,Renault KWID 1.0,2018,350000,Petrol,Individual,25000,First Owner,23.01 kmpl
CarID126,Maruti Celerio VXI,2015,360000,Petrol,Individual,40000,Second Owner,23.1 kmpl
CarID127,Maruti Alto LXi,2008,105000,Petrol,Individual,65000,Fourth & Above Owner,19.7 kmpl
CarID128,Maruti Ertiga VDI,2013,625000,Diesel,Individual,90000,Second Owner,20.77 kmpl
CarID129,Hyundai Santro Xing GLS,2009,135000,Petrol,Individual,80000,Second Owner,17.92 kmpl
CarID130,Maruti Ertiga VDI,2015,700000,Diesel,Individual,110000,Second Owner,20.77 kmpl
CarID131,Honda Amaze S i-VTEC,2019,690000,Petrol,Dealer,1303,First Owner,17.8 kmpl
CarID132,Audi Q5 35TDI Premium Plus,2018,3975000,Diesel,Dealer,31800,First Owner,17.01 kmpl
CarID133,Lexus ES 300h,2019,5150000,Petrol,Dealer,20000,First Owner,22.37 kmpl
CarID134,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,Diesel,Dealer,45000,First Owner,19.33 kmpl
CarID135,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,Petrol,Individual,17000,First Owner,9.5 kmpl
CarID136,Land Rover Discovery Sport TD4 SE,2019,4500000,Diesel,Dealer,21000,First Owner,12.83 kmpl
CarID137,Mercedes-Benz S-Class S 350 CDI,2017,6000000,Diesel,Dealer,37000,First Owner,13.5 kmpl
CarID138,BMW 5 Series 520d Sport Line,2018,3790000,Diesel,Dealer,29500,First Owner,22.48 kmpl
CarID139,BMW X1 sDrive 20D xLine,2017,2150000,Diesel,Dealer,27000,First Owner,""
CarID140,BMW X4 M Sport X xDrive20d,2019,5800000,Diesel,Dealer,7500,First Owner,16.78 kmpl
CarID141,Skoda Superb LK 1.8 TSI AT,2018,1864999,Petrol,Dealer,50000,First Owner,14.67 kmpl
CarID142,Mercedes-Benz E-Class E250 Edition E,2016,2700000,Diesel,Dealer,35000,First Owner,15.0 kmpl
CarID143,MG Hector Sharp AT BSIV,2019,1750000,Petrol,Dealer,19000,First Owner,13.96 kmpl
CarID144,Honda City i-VTEC CVT VX,2017,795000,Petrol,Dealer,41000,First Owner,18.0 kmpl
CarID145,Toyota Corolla Altis 1.8 G CVT,2013,625000,Petrol,Dealer,39000,First Owner,14.28 kmpl
CarID146,Volvo XC40 D4 R-Design,2018,3400000,Diesel,Dealer,22000,First Owner,18.0 kmpl
CarID147,Audi Q7 35 TDI Quattro Premium,2015,2650000,Diesel,Dealer,53000,First Owner,12.07 kmpl
CarID148,Maruti Ciaz ZDi,2015,535000,Diesel,Dealer,40000,First Owner,26.21 kmpl
CarID149,Mercedes-Benz S-Class S 350 CDI,2017,5850000,Diesel,Dealer,47000,First Owner,13.5 kmpl
CarID150,BMW 5 Series 523i,2010,975000,Petrol,Dealer,72200,Second Owner,10.8 kmpl
CarID151,Hyundai Elantra S,2016,805000,Petrol,Dealer,49900,First Owner,16.3 kmpl
CarID152,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,Diesel,Dealer,9000,First Owner,13.6 kmpl
CarID153,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,Petrol,Dealer,11000,First Owner,17.0 kmpl
CarID154,Volkswagen Vento Petrol Highline,2011,375000,Petrol,Individual,49000,First Owner,15.04 kmpl
CarID155,Hyundai Elantra SX,2012,550000,Petrol,Individual,95000,First Owner,16.3 kmpl
CarID156,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,Petrol,Dealer,11000,First Owner,14.3 kmpl
CarID157,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,Petrol,Dealer,18000,First Owner,15.04 kmpl
CarID158,Maruti Ertiga ZXI,2014,599000,Petrol,Dealer,46100,First Owner,16.02 kmpl
CarID159,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,Petrol,Dealer,16000,First Owner,14.74 kmpl
CarID160,Honda City V AT,2017,875000,Petrol,Dealer,18000,First Owner,15.6 kmpl
CarID161,Toyota Glanza V CVT,2019,894999,Petrol,Dealer,9654,First Owner,19.56 kmpl
CarID162,Maruti Alto K10 VXI,2011,175000,Petrol,Dealer,11000,First Owner,23.95 kmpl
CarID163,Maruti Swift VXI,2012,340000,Petrol,Dealer,24300,First Owner,21.21 kmpl
CarID164,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,Diesel,Dealer,42163,Second Owner,11.36 kmpl
CarID165,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,Diesel,Dealer,8000,First Owner,21.5 kmpl
CarID166,BMW 3 Series 320d Luxury Line,2016,2150000,Diesel,Dealer,30000,First Owner,22.69 kmpl
CarID167,Toyota Camry 2.5 Hybrid,2016,1900000,Petrol,Dealer,41000,First Owner,19.16 kmpl
CarID168,BMW 5 Series 520d Luxury Line,2016,2900000,Diesel,Dealer,12000,First Owner,18.12 kmpl
CarID169,Toyota Camry W4 (AT),2009,450000,Petrol,Dealer,71000,First Owner,12.1 kmpl
CarID170,Maruti Ertiga BSIV ZXI Plus,2016,850000,Petrol,Individual,20000,First Owner,17.5 kmpl
CarID171,Volvo XC90 T8 Excellence BSIV,2017,10000000,Petrol,Individual,30000,First Owner,42.0 kmpl
CarID172,Volkswagen Vento Diesel Highline,2011,300000,Diesel,Individual,100000,Second Owner,20.54 kmpl
CarID173,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,Petrol,Individual,9500,First Owner,18.16 kmpl
CarID174,Ford Figo Diesel LXI,2011,160000,Diesel,Individual,120000,First Owner,20.0 kmpl
CarID175,Maruti Swift VXI Optional,2015,515000,Petrol,Individual,36600,First Owner,20.4 kmpl
CarID176,Maruti Wagon R AMT VXI,2015,390000,Petrol,Individual,50000,Second Owner,20.51 kmpl
CarID177,Hyundai i20 Magna 1.2,2016,550000,Petrol,Individual,14000,Second Owner,18.6 kmpl
CarID178,Maruti 800 Std,1999,40000,Petrol,Individual,40000,Second Owner,16.1 kmpl
CarID179,Maruti Ritz VDi,2010,220000,Diesel,Individual,120000,First Owner,21.1 kmpl
CarID180,Hyundai Grand i10 Magna,2015,425000,Petrol,Individual,70000,First Owner,18.9 kmpl
CarID181,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,Petrol,Individual,13000,First Owner,19.44 kmpl
CarID182,Hyundai Grand i10 Sportz,2014,400000,Petrol,Individual,60000,Second Owner,18.9 kmpl
CarID183,Maruti Swift Dzire VXI,2014,487000,Petrol,Individual,35000,First Owner,19.1 kmpl
CarID184,Hyundai Xcent 1.2 Kappa S,2016,386000,Petrol,Individual,44000,Second Owner,19.1 kmpl
CarID185,Honda City 1.5 EXI,2005,100000,Petrol,Individual,120000,Second Owner,13.0 kmpl
CarID186,Toyota Corolla Altis Diesel D4DG,2010,300000,Diesel,Individual,60000,First Owner,21.43 kmpl
CarID187,Daewoo Matiz SD,2000,100000,Petrol,Individual,60000,First Owner,18.5 kmpl
CarID188,Toyota Fortuner 4x2 Manual,2014,1750000,Diesel,Individual,30000,Second Owner,13.0 kmpl
CarID189,Mahindra KUV 100 mFALCON G80 K8,2016,450000,Petrol,Individual,15000,Second Owner,18.15 kmpl
CarID190,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,Diesel,Individual,90000,First Owner,22.95 kmpl
CarID191,Honda City 1.5 S MT,2009,345000,Petrol,Individual,47000,Second Owner,17.0 kmpl
CarID192,Maruti Zen LXI,2005,85000,Petrol,Individual,90000,First Owner,17.3 kmpl
CarID193,Maruti Wagon R VXI BS IV with ABS,2010,215000,Petrol,Individual,120600,Second Owner,18.9 kmpl
CarID194,Hyundai Verna Transform SX VTVT,2010,320000,Petrol,Individual,100000,Third Owner,16.2 kmpl
CarID195,Maruti Swift Dzire VXI,2016,459999,Petrol,Individual,60000,Second Owner,20.85 kmpl
CarID196,Hyundai Getz GLS,2005,65000,Petrol,Individual,86000,First Owner,15.3 kmpl
CarID197,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,Petrol,Individual,5000,First Owner,18.6 kmpl
CarID198,Maruti Ciaz 1.3 Alpha,2017,800000,Diesel,Individual,37000,First Owner,28.09 kmpl
CarID199,Tata Tigor 1.2 Revotron XZ,2019,520000,Petrol,Individual,14000,First Owner,20.3 kmpl
CarID200,Maruti Ertiga VDI,2015,580000,Diesel,Individual,70000,First Owner,20.77 kmpl
CarID201,Toyota Etios GD,2012,235000,Diesel,Individual,120000,First Owner,""
CarID202,Honda City i VTEC S,2015,600000,Petrol,Individual,50000,First Owner,17.4 kmpl
CarID203,Honda Brio S MT,2014,290000,Petrol,Individual,60000,Second Owner,19.4 kmpl
CarID204,Maruti Wagon R LXI CNG,2016,360000,CNG,Individual,50000,First Owner,26.6 km/kg
CarID205,Maruti Swift Dzire VXI,2017,550000,Petrol,Individual,50000,First Owner,20.85 kmpl
CarID206,Hyundai i20 Sportz 1.2,2013,375000,Petrol,Individual,70000,First Owner,18.5 kmpl
CarID207,Maruti Omni E 8 Str STD,2003,40000,Petrol,Individual,90000,Second Owner,""
CarID208,Maruti Wagon R AMT VXI,2018,420000,Petrol,Individual,35000,First Owner,20.51 kmpl
CarID209,Maruti Swift Dzire VXI 1.2,2017,550000,Petrol,Individual,20000,First Owner,21.21 kmpl
CarID210,Maruti Alto 800 LXI,2018,270000,Petrol,Individual,20000,First Owner,24.7 kmpl
CarID211,Maruti Swift Dzire AMT VXI BS IV,2018,700000,Petrol,Individual,7800,First Owner,22.0 kmpl
CarID212,Maruti Swift VXI Optional,2017,500000,Petrol,Individual,20000,First Owner,20.4 kmpl
CarID213,Tata Hexa XE,2019,1250000,Diesel,Individual,15000,First Owner,17.6 kmpl
CarID214,Hyundai i20 Magna,2013,320000,Petrol,Individual,31377,Second Owner,18.5 kmpl
CarID215,Maruti Swift Dzire VDI,2018,700000,Diesel,Individual,50000,First Owner,28.4 kmpl
CarID216,Maruti Wagon R VXI BS IV,2015,290000,Petrol,Individual,60000,First Owner,20.51 kmpl
CarID217,Toyota Corolla Altis 1.8 VL AT,2012,550000,Petrol,Individual,100000,First Owner,14.53 kmpl
CarID218,Honda Brio S MT,2012,265000,Petrol,Individual,60000,First Owner,19.4 kmpl
CarID219,Maruti Baleno Alpha Automatic,2018,830000,Petrol,Individual,5000,First Owner,21.4 kmpl
CarID220,Tata Safari Storme EX,2017,800000,Diesel,Individual,60000,First Owner,14.1 kmpl
CarID221,Maruti Alto LXi,2011,160000,Petrol,Individual,25000,Second Owner,19.7 kmpl
CarID222,Renault KWID RXT,2018,335000,Petrol,Individual,30000,First Owner,25.17 kmpl
CarID223,Datsun GO T BSIV,2017,329000,Petrol,Individual,80000,Second Owner,20.63 kmpl
CarID224,Maruti Vitara Brezza VDi Option,2017,775000,Diesel,Individual,75000,First Owner,24.3 kmpl
CarID225,Hyundai Xcent 1.2 VTVT SX,2020,524000,Petrol,Individual,32000,First Owner,20.14 kmpl
CarID226,Maruti Alto 800 LXI,2015,245000,Petrol,Individual,40000,First Owner,22.74 kmpl
CarID227,Hyundai i20 1.2 Sportz,2012,275000,Petrol,Individual,93000,Second Owner,17.0 kmpl
CarID228,Tata Zest Revotron 1.2 XT,2018,520000,Petrol,Individual,60000,First Owner,17.57 kmpl
CarID229,Maruti Swift 1.3 VXi,2008,130000,Petrol,Individual,120000,Second Owner,""
CarID230,Nissan Sunny XL,2014,550000,Petrol,Individual,37000,First Owner,16.95 kmpl
CarID231,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,Petrol,Individual,15000,First Owner,17.0 kmpl
CarID232,Nissan Micra Active XV S,2015,300000,Petrol,Individual,80000,First Owner,19.49 kmpl
CarID233,Maruti Wagon R LXI Optional,2016,350000,Petrol,Individual,140000,First Owner,20.51 kmpl
CarID234,Mahindra Ssangyong Rexton RX5,2013,900000,Diesel,Individual,70000,First Owner,12.83 kmpl
CarID235,Mahindra Quanto C8,2013,300000,Diesel,Individual,120000,Second Owner,17.21 kmpl
CarID236,Maruti Ritz LDi,2010,250000,Diesel,Individual,110000,Second Owner,21.1 kmpl
CarID237,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,Diesel,Individual,37000,First Owner,19.67 kmpl
CarID238,Renault KWID RXT,2016,270000,Petrol,Individual,44000,First Owner,25.17 kmpl
CarID239,Maruti Ertiga VDI,2015,640000,Diesel,Individual,80000,First Owner,20.77 kmpl
CarID240,Mahindra XUV500 W4,2015,650000,Diesel,Individual,125000,First Owner,15.1 kmpl
CarID241,Maruti Eeco 5 Seater AC BSIV,2017,409999,Petrol,Individual,13500,First Owner,15.37 kmpl
CarID242,Hyundai Santro Xing GLS,2011,165000,Petrol,Individual,75000,First Owner,17.92 kmpl
CarID243,Hyundai Accent GLE,2007,80000,Petrol,Individual,120000,Second Owner,13.2 kmpl
CarID244,Mahindra XUV500 W8 2WD,2012,535000,Diesel,Individual,120000,First Owner,15.1 kmpl
CarID245,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,Diesel,Individual,70000,First Owner,12.99 kmpl
CarID246,Maruti Swift Dzire VDI,2013,550000,Diesel,Individual,70000,First Owner,23.4 kmpl
CarID247,Honda Amaze S CVT Petrol BSIV,2019,680000,Petrol,Individual,15000,First Owner,19.0 kmpl
CarID248,Hyundai i10 Sportz 1.2,2009,200000,Petrol,Individual,53000,Second Owner,20.36 kmpl
CarID249,Maruti Swift Dzire VDI,2014,500000,Diesel,Individual,120000,Second Owner,23.4 kmpl
CarID250,Maruti Ertiga SHVS ZDI Plus,2016,1000000,Diesel,Individual,70000,First Owner,24.52 kmpl
CarID251,Hyundai Getz 1.3 GVS,2008,110000,Petrol,Individual,120000,Second Owner,14.2 kmpl
CarID252,Hyundai i20 1.2 Magna,2012,320000,Petrol,Individual,100000,Second Owner,18.5 kmpl
CarID253,Tata Indica DLS,2005,75000,Diesel,Individual,110000,Second Owner,""
CarID254,Maruti Swift LXI Optional-O,2015,350000,Petrol,Individual,100000,First Owner,20.4 kmpl
