,manufactory,year,selling_price,fuel,seller_type,mileage
1531,Ford,2018,3250000,Diesel,Individual,10.91 kmpl
1532,Honda,2019,700000,Petrol,Individual,19.5 kmpl
1546,Maruti,2019,700000,Petrol,Individual,22.0 kmpl
1550,Tata,2019,525000,Petrol,Individual,23.84 kmpl
1552,Maruti,2020,630000,Petrol,Individual,21.01 kmpl
1560,Tata,2018,740000,Petrol,Individual,17.0 kmpl
1561,Honda,2019,690000,Petrol,Dealer,17.8 kmpl
1568,Hyundai,2019,550000,Petrol,Trustmark Dealer,20.7 kmpl
1575,Maruti,2018,925000,Diesel,Trustmark Dealer,28.09 kmpl
1582,Hyundai,2018,590000,Petrol,Individual,18.9 kmpl
1585,Maruti,2018,575000,Petrol,Individual,21.4 kmpl
1587,Tata,2018,1575000,Diesel,Individual,17.6 kmpl
1591,Tata,2018,1575000,Diesel,Individual,17.6 kmpl
1594,Mahindra,2018,1200000,Diesel,Individual,17.3 kmpl
1598,Tata,2018,700000,Diesel,Individual,21.5 kmpl
1610,Ford,2018,700000,Petrol,Individual,19.0 kmpl
1611,Maruti,2018,900000,Petrol,Individual,19.34 kmpl
1621,Hyundai,2018,480000,Petrol,Individual,20.14 kmpl
1637,Mahindra,2018,1465000,Diesel,Individual,16.36 kmpl
1642,Maruti,2018,560000,Petrol,Individual,21.4 kmpl
1653,Hyundai,2020,675000,Petrol,Individual,20.7 kmpl
1665,Tata,2018,450000,Petrol,Individual,23.84 kmpl
1690,Mahindra,2019,1460000,Diesel,Individual,17.3 kmpl
1697,Maruti,2019,525000,Petrol,Individual,20.89 kmpl
1699,Maruti,2019,500000,Petrol,Individual,21.21 kmpl
1717,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
1720,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
1722,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
1724,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
1725,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
1726,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
1737,Hyundai,2019,800000,Petrol,Individual,17.19 kmpl
1738,Tata,2018,1250000,Diesel,Individual,17.6 kmpl
1741,Tata,2019,650000,Diesel,Individual,22.95 kmpl
1762,Hyundai,2019,525000,Petrol,Individual,20.14 kmpl
1767,Hyundai,2019,590000,Petrol,Individual,20.14 kmpl
1769,Ford,2019,800000,Petrol,Dealer,19.4 kmpl
1793,Maruti,2018,550000,Petrol,Individual,22.0 kmpl
1806,Hyundai,2019,650000,Petrol,Individual,18.6 kmpl
1831,Ford,2018,3250000,Diesel,Individual,10.91 kmpl
1833,Honda,2019,700000,Petrol,Individual,19.5 kmpl
1836,Mahindra,2018,1400000,Diesel,Individual,16.0 kmpl
1843,Maruti,2018,260000,Petrol,Individual,16.8 kmpl
1844,Hyundai,2018,1050000,Diesel,Individual,21.38 kmpl
1847,Hyundai,2018,700000,Petrol,Individual,18.6 kmpl
1852,Maruti,2019,409999,Petrol,Individual,15.37 kmpl
1857,Honda,2019,690000,Petrol,Dealer,17.8 kmpl
1865,Maruti,2018,925000,Diesel,Trustmark Dealer,28.09 kmpl
1867,Maruti,2018,430000,Petrol,Trustmark Dealer,20.51 kmpl
1872,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
1873,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
1874,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
1875,Ford,2018,640000,Petrol,Dealer,15.9 kmpl
1882,Maruti,2018,1000000,Diesel,Individual,28.09 kmpl
1913,Mahindra,2019,800000,Diesel,Individual,15.96 kmpl
1947,Hyundai,2018,444000,Petrol,Individual,21.1 kmpl
1960,Maruti,2018,650000,Diesel,Individual,28.4 kmpl
1977,Maruti,2018,475000,Petrol,Individual,21.63 kmpl
1979,Honda,2020,2125000,Diesel,Dealer,26.8 kmpl
1980,BMW,2018,3350000,Diesel,Dealer,19.62 kmpl
1982,Hyundai,2018,540000,Petrol,Dealer,20.3 kmpl
1984,Maruti,2019,484999,Petrol,Dealer,21.63 kmpl
1985,Hyundai,2020,1950000,Diesel,Dealer,17.01 kmpl
1986,Maruti,2018,950000,Diesel,Dealer,24.3 kmpl
1988,Mahindra,2018,900000,Diesel,Dealer,16.55 kmpl
1992,Mahindra,2019,1075000,Diesel,Dealer,17.3 kmpl
2004,Maruti,2019,395000,Petrol,Individual,15.37 kmpl
2015,Ford,2018,950000,Diesel,Dealer,22.77 kmpl
2021,Honda,2018,850000,Petrol,Individual,17.5 kmpl
2032,Maruti,2018,850000,Diesel,Individual,24.2 kmpl
2033,Tata,2018,250000,Diesel,Individual,25.0 kmpl
2034,Maruti,2020,420000,Petrol,Individual,21.63 kmpl
2043,Hyundai,2019,585000,Petrol,Individual,18.9 kmpl
2053,Maruti,2019,750000,Diesel,Individual,28.4 kmpl
2086,Maruti,2019,500000,Petrol,Individual,20.89 kmpl
2107,Mahindra,2018,1530000,Diesel,Individual,16.0 kmpl
2112,Hyundai,2018,700000,Diesel,Individual,24.0 kmpl
2129,Maruti,2018,650000,Petrol,Individual,21.56 kmpl
2131,Hyundai,2018,700000,Petrol,Individual,18.6 kmpl
2133,Mahindra,2018,900000,Diesel,Individual,15.4 kmpl
2139,Honda,2018,600000,Petrol,Individual,19.5 kmpl
2157,Hyundai,2018,610000,Petrol,Individual,18.6 kmpl
2160,Maruti,2019,500000,Petrol,Individual,21.63 kmpl
2165,Maruti,2018,509999,Petrol,Individual,22.0 kmpl
2192,Hyundai,2018,950000,Petrol,Individual,17.0 kmpl
2204,Tata,2018,500000,Diesel,Individual,24.7 kmpl
2206,Hyundai,2018,325000,Petrol,Individual,21.1 kmpl
2207,Maruti,2018,550000,Petrol,Individual,21.4 kmpl
2208,Maruti,2018,720000,Petrol,Individual,20.73 kmpl
2211,Hyundai,2018,500000,Petrol,Individual,18.9 kmpl
2217,Tata,2018,790000,Diesel,Individual,21.5 kmpl
2221,Mahindra,2019,950000,Diesel,Individual,20.0 kmpl
2223,Hyundai,2018,700000,Petrol,Individual,18.6 kmpl
2227,Maruti,2020,580000,Petrol,Individual,23.26 kmpl
2230,Hyundai,2018,1350000,Petrol,Individual,14.8 kmpl
2249,Maruti,2018,550000,Petrol,Individual,22.0 kmpl
2284,Tata,2018,575000,Petrol,Individual,17.0 kmpl
2293,Mahindra,2018,750000,Diesel,Individual,16.5 kmpl
2296,Maruti,2019,577000,Petrol,Individual,20.89 kmpl
2299,Honda,2019,840000,Petrol,Individual,18.2 kmpl
2310,Maruti,2019,490000,Petrol,Individual,20.52 kmpl
2325,Maruti,2018,700000,Petrol,Individual,19.34 kmpl
2326,Maruti,2020,250000,Petrol,Individual,21.63 kmpl
2339,Hyundai,2018,946000,Diesel,Individual,22.1 kmpl
2352,Tata,2019,459999,Petrol,Individual,23.84 kmpl
2354,Maruti,2018,680000,Diesel,Individual,28.4 kmpl
2356,Maruti,2018,720000,Petrol,Individual,22.0 kmpl
2360,Ford,2019,725000,Diesel,Individual,24.4 kmpl
2369,Maruti,2019,610000,Petrol,Individual,21.21 kmpl
2371,Ford,2018,925000,Diesel,Dealer,22.77 kmpl
2378,Ford,2018,650000,Diesel,Dealer,23.8 kmpl
2390,Maruti,2018,955000,Diesel,Individual,24.52 kmpl
2398,Mahindra,2018,1325000,Diesel,Individual,16.36 kmpl
2402,Ford,2018,530000,Diesel,Individual,26.1 kmpl
2415,Tata,2019,660000,Diesel,Individual,22.95 kmpl
2418,Hyundai,2018,740000,Petrol,Individual,18.6 kmpl
2428,Tata,2018,490000,Petrol,Individual,23.84 kmpl
2430,Tata,2018,390000,Petrol,Individual,23.84 kmpl
2438,Maruti,2019,630000,Petrol,Individual,21.21 kmpl
2444,Tata,2020,950000,Petrol,Individual,17.0 kmpl
2451,Tata,2019,1250000,Diesel,Individual,14.1 kmpl
2483,Hyundai,2018,555000,Petrol,Individual,18.6 kmpl
2503,Hyundai,2018,600000,Petrol,Individual,18.6 kmpl
2509,Maruti,2019,399000,Petrol,Individual,23.95 kmpl
2514,Maruti,2018,390000,CNG,Individual,26.6 km/kg
2526,Maruti,2019,362000,CNG,Individual,21.94 km/kg
2528,Maruti,2018,459999,CNG,Individual,26.6 km/kg
2530,Hyundai,2019,499000,Petrol,Individual,20.3 kmpl
2531,Maruti,2018,358000,Petrol,Individual,15.37 kmpl
2535,Honda,2019,1300000,Petrol,Individual,17.4 kmpl
2536,Honda,2018,825000,Diesel,Individual,25.8 kmpl
2539,Hyundai,2018,490000,Petrol,Individual,20.3 kmpl
2540,Mahindra,2018,1050000,Diesel,Individual,16.0 kmpl
2571,Mahindra,2019,740000,Diesel,Individual,16.5 kmpl
2575,Maruti,2018,650000,Petrol,Individual,22.0 kmpl
2577,Maruti,2019,380000,Petrol,Individual,23.95 kmpl
2579,Hyundai,2019,1270000,Petrol,Individual,17.0 kmpl
2602,Honda,2018,1031000,Diesel,Individual,25.6 kmpl
2603,Hyundai,2018,330000,Petrol,Individual,20.3 kmpl
2604,Hyundai,2019,399000,Petrol,Individual,20.3 kmpl
2620,Mahindra,2019,1575000,Diesel,Individual,15.1 kmpl
2625,Maruti,2018,550000,Petrol,Individual,21.4 kmpl
2638,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
2641,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
2643,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
2645,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
2646,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
2647,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
2653,Maruti,2018,500000,Petrol,Individual,22.0 kmpl
2656,Hyundai,2020,330000,Petrol,Individual,18.9 kmpl
2671,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
2674,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
2676,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
2678,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
2679,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
2680,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
2689,Hyundai,2019,1050000,Diesel,Individual,21.38 kmpl
2691,Maruti,2020,415000,Petrol,Individual,15.37 kmpl
2693,Maruti,2018,680000,Diesel,Individual,28.4 kmpl
2698,Maruti,2018,764000,Petrol,Individual,20.73 kmpl
2699,Mahindra,2019,710000,Diesel,Individual,15.96 kmpl
2718,Maruti,2019,760000,Petrol,Individual,21.01 kmpl
2721,Maruti,2018,700000,Petrol,Individual,21.4 kmpl
2750,Maruti,2020,550000,Petrol,Individual,23.26 kmpl
2752,Honda,2018,670000,Diesel,Individual,27.4 kmpl
2756,Maruti,2019,860000,Diesel,Individual,24.3 kmpl
2757,Maruti,2018,600000,Diesel,Individual,27.39 kmpl
2760,Maruti,2019,900000,Diesel,Individual,25.1 kmpl
2768,Maruti,2018,450000,CNG,Individual,26.6 km/kg
2798,Hyundai,2018,520000,Petrol,Individual,18.9 kmpl
2811,Maruti,2018,200000,Petrol,Individual,16.8 kmpl
2813,Honda,2018,560000,Diesel,Individual,25.8 kmpl
2814,Maruti,2018,575000,Petrol,Individual,20.89 kmpl
2825,Maruti,2018,875000,Diesel,Dealer,24.3 kmpl
2828,BMW,2018,2850000,Diesel,Dealer,17.05 kmpl
2830,BMW,2018,3900000,Diesel,Dealer,22.48 kmpl
2837,Maruti,2019,470000,Petrol,Dealer,21.63 kmpl
2857,Hyundai,2018,500000,Petrol,Individual,18.9 kmpl
2864,Maruti,2018,308000,Petrol,Individual,24.7 kmpl
2865,Hyundai,2019,570000,Petrol,Individual,18.9 kmpl
2869,Maruti,2018,680000,Petrol,Individual,21.21 kmpl
2885,Hyundai,2018,650000,Diesel,Individual,24.0 kmpl
2894,Tata,2018,450000,Petrol,Individual,20.3 kmpl
2897,Hyundai,2019,960000,Diesel,Individual,24.0 kmpl
2910,Maruti,2018,750000,Diesel,Individual,24.3 kmpl
2911,Hyundai,2018,570000,Petrol,Individual,18.6 kmpl
2919,Mahindra,2018,1700000,Diesel,Individual,15.1 kmpl
2922,Ford,2018,640000,Diesel,Individual,25.83 kmpl
2925,Maruti,2018,580000,Diesel,Individual,23.4 kmpl
2927,Maruti,2019,660000,Petrol,Individual,21.4 kmpl
2931,Maruti,2019,509999,Petrol,Individual,21.21 kmpl
2935,Maruti,2018,375000,Petrol,Individual,23.95 kmpl
2936,Hyundai,2019,950000,Diesel,Individual,22.1 kmpl
2939,BMW,2020,7200000,Diesel,Individual,13.38 kmpl
2941,Maruti,2019,930000,Diesel,Individual,25.1 kmpl
2947,Tata,2018,409999,Petrol,Individual,23.84 kmpl
2948,Maruti,2019,980000,Diesel,Individual,24.3 kmpl
2950,Honda,2019,750000,Petrol,Individual,18.2 kmpl
2958,Hyundai,2018,580000,Petrol,Individual,18.9 kmpl
2964,Maruti,2020,654000,Petrol,Individual,21.21 kmpl
2967,Maruti,2019,600000,Petrol,Individual,21.21 kmpl
2971,Mahindra,2018,1200000,Diesel,Individual,15.1 kmpl
2988,Maruti,2019,550000,Petrol,Individual,21.21 kmpl
2991,Tata,2019,409999,Petrol,Individual,23.84 kmpl
2992,Tata,2018,438999,Petrol,Individual,23.84 kmpl
3015,Hyundai,2019,550000,Petrol,Individual,18.9 kmpl
3016,Hyundai,2019,420000,Petrol,Individual,20.3 kmpl
3024,Maruti,2018,700000,Diesel,Individual,28.4 kmpl
3037,Maruti,2018,740000,Diesel,Individual,28.4 kmpl
3053,Maruti,2018,911999,Diesel,Individual,24.3 kmpl
3054,Maruti,2018,650000,Petrol,Individual,21.21 kmpl
3057,Hyundai,2019,1200000,Diesel,Individual,22.0 kmpl
3071,Hyundai,2019,693000,Petrol,Individual,18.6 kmpl
3077,Maruti,2018,560000,Petrol,Individual,22.0 kmpl
3086,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
3089,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
3091,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
3093,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
3094,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
3095,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
3101,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
3102,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
3104,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
3113,Hyundai,2019,1150000,Petrol,Dealer,15.8 kmpl
3114,Hyundai,2018,650000,Petrol,Trustmark Dealer,18.6 kmpl
3116,Maruti,2018,698000,Diesel,Dealer,28.4 kmpl
3118,Maruti,2018,445000,Petrol,Dealer,20.52 kmpl
3119,Tata,2018,539000,Diesel,Individual,22.95 kmpl
3176,Maruti,2018,611000,Petrol,Dealer,19.1 kmpl
3180,Maruti,2018,490000,Petrol,Dealer,16.1 kmpl
3181,Tata,2020,500000,Petrol,Individual,17.57 kmpl
3182,Tata,2020,500000,Petrol,Individual,17.57 kmpl
3184,Ford,2019,675000,Petrol,Individual,19.4 kmpl
